ball_x,ball_y,ball_vx,ball_vy,paddle_direction,paddle_y,Ball.RADIUS,Paddle.L,Paddle.STEP,WIDTH,HEIGHT,BORDER,VELOCITY,FPS
770,200,-12,9,0,200,10,80,20,800,400,20,12,30
770,200,-12,9,0,220,10,80,20,800,400,20,12,30
758,209,-12,9,0,240,10,80,20,800,400,20,12,30
746,218,-12,9,0,260,10,80,20,800,400,20,12,30
734,227,-12,9,0,280,10,80,20,800,400,20,12,30
722,236,-12,9,0,300,10,80,20,800,400,20,12,30
710,245,-12,9,0,320,10,80,20,800,400,20,12,30
698,254,-12,9,0,340,10,80,20,800,400,20,12,30
686,263,-12,9,0,340,10,80,20,800,400,20,12,30
674,272,-12,9,0,340,10,80,20,800,400,20,12,30
662,281,-12,9,0,340,10,80,20,800,400,20,12,30
650,290,-12,9,0,340,10,80,20,800,400,20,12,30
638,299,-12,9,0,340,10,80,20,800,400,20,12,30
626,308,-12,9,0,340,10,80,20,800,400,20,12,30
614,317,-12,9,0,340,10,80,20,800,400,20,12,30
602,326,-12,9,0,340,10,80,20,800,400,20,12,30
590,335,-12,9,0,340,10,80,20,800,400,20,12,30
578,344,-12,9,0,340,10,80,20,800,400,20,12,30
566,353,-12,9,0,340,10,80,20,800,400,20,12,30
554,362,-12,9,0,340,10,80,20,800,400,20,12,30
542,353,-12,-9,0,340,10,80,20,800,400,20,12,30
530,344,-12,-9,0,340,10,80,20,800,400,20,12,30
518,335,-12,-9,0,340,10,80,20,800,400,20,12,30
506,326,-12,-9,0,340,10,80,20,800,400,20,12,30
494,317,-12,-9,0,340,10,80,20,800,400,20,12,30
482,308,-12,-9,0,340,10,80,20,800,400,20,12,30
470,299,-12,-9,0,340,10,80,20,800,400,20,12,30
458,290,-12,-9,0,340,10,80,20,800,400,20,12,30
446,281,-12,-9,0,340,10,80,20,800,400,20,12,30
434,272,-12,-9,0,340,10,80,20,800,400,20,12,30
422,263,-12,-9,0,340,10,80,20,800,400,20,12,30
410,254,-12,-9,0,340,10,80,20,800,400,20,12,30
398,245,-12,-9,0,340,10,80,20,800,400,20,12,30
386,236,-12,-9,0,340,10,80,20,800,400,20,12,30
374,227,-12,-9,0,340,10,80,20,800,400,20,12,30
362,218,-12,-9,0,340,10,80,20,800,400,20,12,30
350,209,-12,-9,0,340,10,80,20,800,400,20,12,30
338,200,-12,-9,0,340,10,80,20,800,400,20,12,30
326,191,-12,-9,0,340,10,80,20,800,400,20,12,30
314,182,-12,-9,0,340,10,80,20,800,400,20,12,30
302,173,-12,-9,0,340,10,80,20,800,400,20,12,30
290,164,-12,-9,0,340,10,80,20,800,400,20,12,30
278,155,-12,-9,0,340,10,80,20,800,400,20,12,30
266,146,-12,-9,0,340,10,80,20,800,400,20,12,30
254,137,-12,-9,0,340,10,80,20,800,400,20,12,30
242,128,-12,-9,0,340,10,80,20,800,400,20,12,30
230,119,-12,-9,0,340,10,80,20,800,400,20,12,30
218,110,-12,-9,0,340,10,80,20,800,400,20,12,30
206,101,-12,-9,0,340,10,80,20,800,400,20,12,30
194,92,-12,-9,0,340,10,80,20,800,400,20,12,30
182,83,-12,-9,0,340,10,80,20,800,400,20,12,30
170,74,-12,-9,0,340,10,80,20,800,400,20,12,30
158,65,-12,-9,0,340,10,80,20,800,400,20,12,30
146,56,-12,-9,0,340,10,80,20,800,400,20,12,30
134,47,-12,-9,0,340,10,80,20,800,400,20,12,30
122,38,-12,-9,0,340,10,80,20,800,400,20,12,30
110,47,-12,9,0,340,10,80,20,800,400,20,12,30
98,56,-12,9,0,340,10,80,20,800,400,20,12,30
86,65,-12,9,0,340,10,80,20,800,400,20,12,30
74,74,-12,9,0,340,10,80,20,800,400,20,12,30
62,83,-12,9,0,340,10,80,20,800,400,20,12,30
50,92,-12,9,0,340,10,80,20,800,400,20,12,30
38,101,-12,9,0,340,10,80,20,800,400,20,12,30
50,110,12,9,0,340,10,80,20,800,400,20,12,30
62,119,12,9,0,340,10,80,20,800,400,20,12,30
74,128,12,9,0,340,10,80,20,800,400,20,12,30
86,137,12,9,0,340,10,80,20,800,400,20,12,30
98,146,12,9,0,340,10,80,20,800,400,20,12,30
110,155,12,9,0,340,10,80,20,800,400,20,12,30
122,164,12,9,0,340,10,80,20,800,400,20,12,30
134,173,12,9,0,340,10,80,20,800,400,20,12,30
146,182,12,9,0,340,10,80,20,800,400,20,12,30
158,191,12,9,0,340,10,80,20,800,400,20,12,30
170,200,12,9,0,340,10,80,20,800,400,20,12,30
182,209,12,9,0,340,10,80,20,800,400,20,12,30
194,218,12,9,0,340,10,80,20,800,400,20,12,30
206,227,12,9,0,340,10,80,20,800,400,20,12,30
218,236,12,9,0,340,10,80,20,800,400,20,12,30
230,245,12,9,0,340,10,80,20,800,400,20,12,30
242,254,12,9,0,340,10,80,20,800,400,20,12,30
254,263,12,9,0,340,10,80,20,800,400,20,12,30
266,272,12,9,0,340,10,80,20,800,400,20,12,30
278,281,12,9,0,340,10,80,20,800,400,20,12,30
290,290,12,9,0,340,10,80,20,800,400,20,12,30
302,299,12,9,0,340,10,80,20,800,400,20,12,30
314,308,12,9,0,340,10,80,20,800,400,20,12,30
326,317,12,9,0,340,10,80,20,800,400,20,12,30
